k,CV_estimated_MSE
2,123768.26801887713
5,125916.54167169619
10,121204.62645225666
2,119496.2248628942
5,123903.31385056554
10,121220.52158807703
2,122431.01214243304
5,122512.19069978963
10,115728.57679825167
2,141261.8516127508
5,115229.60285422781
10,118466.87289791163
2,129112.54326140312
5,125370.9701882753
10,117894.96152304637
2,118202.9444081659
5,118013.2761358771
10,117848.51148654087
2,111082.38097261416
5,121261.94370917845
10,114578.14935019877
2,136503.25929217166
5,125818.44447843076
10,117046.5011908152
2,129134.99136931908
5,119070.77373486075
10,114442.69029565537
2,126765.70521703237
5,120447.33673268848
10,122467.77278771112
2,119709.7388977705
5,120560.85250394107
10,119154.95846169023
2,120092.14467119545
5,122116.86904684198
10,121888.48288204742
2,116812.90899007695
5,124152.7159198164
10,121781.99077462177
2,118045.61434880682
5,125028.63289264074
10,116875.4207872259
2,129313.72229316161
5,120618.47665850943
10,119255.56215849306
2,121533.51952863431
5,117306.8477288071
10,118681.6438235462
2,131122.5204844806
5,117537.94980563884
10,119682.21575208784
2,117593.48969987972
5,118965.28827067213
10,120470.09934662415
2,120104.99357141956
5,116425.26937376657
10,117898.92183937583
2,129773.01216719564
5,118118.63801945501
10,119387.51258947133
2,123430.6540877811
5,120289.822090613
10,116759.05994364448
2,125185.23752112803
5,123201.83542356137
10,115724.85399660708
2,113755.09514552171
5,118039.54774641362
10,118730.22788981786
2,123575.43151582769
5,118513.22958519263
10,118805.97904214235
2,126761.25082092837
5,119203.34171941213
10,116098.12959584824
2,123021.81613374653
5,119044.75984197241
10,116283.58631637545
2,117102.17860133696
5,127720.28658405223
10,120043.56007133413
2,118211.18648481098
5,117189.03066079404
10,119329.32362493416
2,128106.43502258515
5,122033.35326992619
10,116068.50481747852
2,126260.2040278209
5,123748.09074480848
10,118159.23543495333
